Timestamp;Distance;Delta_Distance;Elevation;Delta_Elevation;Grade;
2018-09-09 10:00:01.87;27.194924317272;27.194924317272;723.2;-0.9746882803054484;-0.050427600021546344;
2018-09-09 10:00:04.096;59.566824340271225;32.37190002299923;721.5;-0.8990469492754488;-0.050427600021546344;
2018-09-09 10:00:06.198;76.43087300865004;16.864048668378818;721.5;0.0997566415020966;0.005915447044558503;
2018-09-09 10:00:07.599;87.67357163927083;11.242698630620797;721.6;0.06650442481904714;0.005915447044558503;
2018-09-09 10:00:10.418;110.2823909865937;22.60881934732286;721.8;0.1337389336788108;0.005915447044558503;
2018-09-09 10:00:13.979;141.54099793981447;31.258606953220788;722.0;0.0;0.0;
2018-09-09 10:00:15.009;150.58436544578416;9.043367505969679;722.1;0.0;0.0;
2018-09-09 10:00:17.211;169.91281621825792;19.32845077247375;722.0;0.0;0.0;
2018-09-09 10:00:20.404;200.79179113542136;30.878974917163436;721.8;-0.2102411276243271;-0.006808710501808592;
2018-09-09 10:00:23.286;228.6624533917006;27.870662256279235;721.4;-0.18975887237565014;-0.006808710501808592;
2018-09-09 10:00:28.924;272.9868148634632;44.324361471762636;721.6;0.2827450777140206;0.0071398702201250835;
2018-09-09 10:00:35.757;326.70595003830556;53.71913517484235;722.1;0.34755942628883696;0.0071398702201250835;
2018-09-09 10:00:36.997;340.1330541162844;13.42710407797885;722.0;-0.211476692442368;-0.015751939194385646;
2018-09-09 10:00:45.139;428.2933461558288;88.16029203954436;720.4;-1.3885233075576546;-0.015751939194385646;
2018-09-09 10:00:58.583;546.2900619113265;117.99671575549773;718.6;0.0;0.0;
2018-09-09 10:01:08.805;636.0106535724561;89.72059166112969;718.2;0.0;0.0;
2018-09-09 10:01:17.305;710.6142345278253;74.60358095536908;715.8;0.0;0.0;
2018-09-09 10:01:24.545;774.1626586780084;63.548424150183074;715.1;0.0;0.0;
2018-09-09 10:01:33.464;852.4521008868631;78.28944220885478;717.8;0.0;0.0;
2018-09-09 10:01:34.794;863.8832052218595;11.43110433499632;718.1;0.015761208693221514;0.0013788014887352108;
2018-09-09 10:01:41.903;924.9789264463467;61.0957212244872;718.2;0.08423879130680122;0.0013788014887352108;
2018-09-09 10:01:43.008;935.2474451318592;10.26851868551248;718.2;-0.005336275700305252;-0.003915438564971875;
2018-09-09 10:01:44.887;952.7034576028507;17.456012470991492;718.0;-0.06834742051605396;-0.003915438564971875;
2018-09-09 10:01:46.409;966.8464340535149;14.14297645066422;718.1;-0.05537553094835131;-0.003915438564971875;
2018-09-09 10:01:48.709;984.2011080829731;17.354674029458103;718.2;0.07880693204642975;0.009679583352046458;
2018-09-09 10:01:49.747;992.0334079242788;7.832299841305709;718.3;0.07580984775873004;0.009679583352046458;
2018-09-09 10:01:50.779;999.8261373211053;7.792729396826485;718.4;0.07542684028551062;0.009679583352046458;
2018-09-09 10:01:51.89;1008.2148975372332;8.388760216127883;718.4;0.01864952669663426;0.009679583352046458;
2018-09-09 10:01:53.083;1017.2184914948333;9.003593957600081;718.5;0.01522165158749577;0.009679583352046458;
2018-09-09 10:01:54.219;1025.7899230531789;8.571431558345681;718.7;0.015221646261759017;0.009679583352046458;
2018-09-09 10:01:55.231;1033.8958272981731;8.105904244994253;718.8;0.009394807733676177;0.005974247896350118;
2018-09-09 10:01:56.484;1043.9350525625334;10.03922526436023;718.9;0.013301004679946805;0.005974247896350118;
2018-09-09 10:01:57.55;1052.4766108087795;8.541558246246147;718.9;0.008142154045494428;0.005974247896350118;
2018-09-09 10:02:00.728;1077.9331220461163;25.45651123733675;719.0;0.11137268068869555;0.005974247896350118;
2018-09-09 10:02:02.057;1090.3514892974947;12.418367251378417;719.0;-0.052749284391300104;-0.004247721073356894;
2018-09-09 10:02:03.746;1106.1310866972162;15.779597399721531;719.0;-0.06702672372052292;-0.004247721073356894;
2018-09-09 10:02:08.289;1148.5598654873488;42.42877879013251;718.7;-0.18022399188813154;-0.004247721073356894;
2018-09-09 10:02:09.658;1161.3461299708235;12.78626448347475;718.6;-0.054536348146546273;-0.004265267959326593;
2018-09-09 10:02:12.645;1189.2468360846801;27.90070611385656;718.4;-0.11900290535412483;-0.004265267959326593;
2018-09-09 10:02:18.33;1242.3414619309954;53.09462584631514;718.2;-0.22646074649930614;-0.004265267959326593;
2018-09-09 10:02:27.628;1323.949870224912;81.60840829391667;720.7;0.0;0.0;
2018-09-09 10:02:36.618;1402.8577161263033;78.90784590139138;717.6;0.0;0.0;
2018-09-09 10:02:44.586;1472.797440906676;69.93972478037259;715.9;0.0;0.0;
2018-09-09 10:03:00.566;1613.0581513402294;140.2607104335534;715.2;0.0;0.0;
2018-09-09 10:03:19.553;1779.710553159014;166.65240181878454;719.2;0.0;0.0;
2018-09-09 10:03:49.845;2045.586428419761;265.87587526074697;739.4;0.0;0.0;
2018-09-09 10:03:59.139;2127.161505383083;81.57507696332205;728.0;0.0;0.0;
2018-09-09 10:04:00.465;2144.6283534746485;17.466848091565772;726.4;-0.6348582205486646;-0.03637049900843913;
2018-09-09 10:04:02.504;2171.4958589063044;26.867505431655964;723.6;-0.9765389038425907;-0.03637049900843913;
2018-09-09 10:04:04.569;2198.6952802766696;27.199421370365293;723.8;-0.9886028756087673;-0.03637049900843913;
2018-09-09 10:04:08.746;2231.634070735256;32.93879045858669;724.2;0.22894977057111032;0.006950932266284488;
2018-09-09 10:04:11.866;2256.242908084148;24.608837348892134;724.6;0.1710502294288669;0.006950932266284488;
